Question,Answer
第2ターミナル,1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
ANA,ANAは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
全日空,ANAは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
全日空のカウンター,ANAは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
ANAのカウンター,ANAは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
日本航空,店舗を出て正面のカウンターがJALカウンターです
JAL,店舗を出て正面のカウンターがJALカウンターです
JALのカウンター,店舗を出て正面のカウンターがJALカウンターです
エアドゥのカウンターを探している,AIRDOは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
AIRDOのカウンター,AIRDOは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
ソラシドエアのカウンター,ソラシドエアは第2ターミナル発着です。第2ターミナルへの移動には、1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。お急ぎの場合は、徒歩移動をお勧めします。地下京急改札横の連絡通路をご使用ください。
スカイマークのカウンター,スカイマークのカウンターは北ウイングです。
第3ターミナル,1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。バスの行き先を確認の上、ご乗車ください。
国際線,1階到着階からターミナル間の連絡バスが出ております。8番乗り場から約5分間隔で運行しております。バスの行き先を確認の上、ご乗車ください。
ATM,三菱UFJのATMは1階出口5番付近、ゆうちょATMは2階2番出口付近、みずほATMは2階出口6番付近と1階中央、三井住友のATMは地下1階中央、セブン銀行ATMは2階3番出口付近と3階テラスレストランエリア、横浜銀行・りそな銀行・イオン銀行ATMは1階北ウイングより中央にございます。どのATMの使用をご希望か、お客様にご確認の上、ご案内をしてください。
コンビニ,1階にファミリーマート、地下1階にローソンがございます
郵便局,1階中央に郵便局がございます
喫煙所,喫煙所は店舗を出て右手、建物奥にございます。
銀行,みずほ銀行が1階中央にございます。他の銀行をご希望の場合、用途によってはATMをご案内ください。
病院,1階中央に空港診療所がございます
薬局,2階時計台3番前に薬局【エアポートドラッグ】がございます
薬,2階時計台3番前に薬局【エアポートドラッグ】がございます
酔い止め,2階時計台3番前に薬局【エアポートドラッグ】がございます
荷物を預ける,荷物の預かりは地下1階南ウイング側建物奥にカウンターがございます
クリーニング,クリーニングは地下1階南ウイング側建物奥にカウンターがございます
荷物を配送,荷物の配送は1階ヤマトのカウンターで承ります
切手,1階郵便局、もしくはコンビニで取扱いがございます
ラウンジ,JALのラウンジはゲート内、保安検査場を通った後のエリアです。北・南ウイングそれぞれ3階にございます。カード会社ラウンジ（POWER LOUNGE）はゲート前であれば1階中央、ゲート後は北・南ウイングそれぞれにございます。
カードラウンジ,カード会社ラウンジ（POWER LOUNGE）はゲート前であれば1階中央、ゲート後は北・南ウイングそれぞれにございます
