商品名・メーカー名検索,メーカー名,商品名,羽田限定,東京限定,金額,入数,仏事,日持ち,おもたせ,取り扱い店舗
アイル,アイル,東京カンパネラ,0,0,0,0,0,0,0,-
東京ｶﾝﾊﾟﾈﾗ,アイル,東京ｶﾝﾊﾟﾈﾗ,0,1,1750,10,0,1,1,ピア１、ピア４、洋菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
東京ｶﾝﾊﾟﾈﾗ,アイル,東京ｶﾝﾊﾟﾈﾗ,0,1,2800,16,0,1,1,ピア１、ピア５、洋菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
東京ｶﾝﾊﾟﾈﾗ,アイル,東京ｶﾝﾊﾟﾈﾗ,0,1,4200,24,0,1,1,ピア１、ピア６、洋菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
赤坂柿山,赤坂柿山,あ・ら・かしこ、柿山セレクト,0,0,0,0,0,0,0,-
あ・ら・かしこ,赤坂柿山,あ・ら・かしこ,0,0,2160,36,1,1,1,ピア１、東京賓館A
あ・ら・かしこ,赤坂柿山,あ・ら・かしこ,0,0,1620,28,1,1,1,ピア１、東京賓館A
あ・ら・かしこ,赤坂柿山,あ・ら・かしこ,0,0,1080,18,1,1,1,ピア１、東京賓館A
柿山セレクト,赤坂柿山,柿山セレクト,0,0,1620,17,1,1,1,ピア１、東京賓館A
柿山セレクト,赤坂柿山,柿山セレクト,0,0,2160,27,1,1,1,ピア１、東京賓館A
柿山セレクト,赤坂柿山,柿山セレクト,0,0,3240,44,1,1,1,ピア１、東京賓館A
曙,曙,味の民芸、それぞれ、二十四節花,0,0,0,0,0,0,0,-
味の民芸,曙,味の民芸,0,0,702,12,1,1,1,ピア１、東京賓館A
味の民芸,曙,味の民芸,0,0,1620,22,1,1,1,ピア１、東京賓館A
味の民芸,曙,味の民芸,0,0,2160,33,1,1,1,ピア１、東京賓館A
それぞれ,曙,それぞれ,0,0,3240,18,1,1,1,ピア１、東京賓館A
それぞれ,曙,それぞれ,0,0,5400,24,1,1,1,ピア１、東京賓館A
二十四節花,曙,二十四節花,0,0,1404,36,0,1,1,ピア１、東京賓館A
浅草中村屋,浅草中村屋,浅草こげ煎,0,0,0,0,0,0,0,-
浅草こげ煎,浅草中村屋,浅草こげ煎,0,0,2376,48,1,1,1,ピア１、東京食賓館３、ピア４、スマイルトーキョー
浅草こげ煎,浅草中村屋,浅草こげ煎,0,0,1188,24,1,1,1,ピア１、東京食賓館３、ピア４、スマイルトーキョー
ありあけ,ありあけ,ありあけハーバーダブルマロン,0,0,0,0,0,0,0,-
ありあけハーバーダブルマロン,ありあけ,ありあけハーバーダブルマロン,0,0,1155,8,0,1,0,トラベルアイル、デリーツ
麻布かりんと,麻布かりんと,かりんとパレット,0,0,0,0,0,0,0,-
かりんとパレット,麻布かりんと,かりんとパレット,0,0,972,6,0,1,0,ピア１、ピア４、デリーツ
かりんとパレット,麻布かりんと,かりんとパレット,0,0,1512,8,0,1,1,ピア１、ピア４、デリーツ
アニバーサリー,アニバーサリー,お絵かきマカロン,0,0,0,0,0,0,0,-
お絵かきマカロン,アニバーサリー,お絵かきマカロン,1,1,1404,5,0,1,1,ピア４、スマイルトーキョー
アンドザフリット,アンドザフリット,ドライフリット,0,0,0,0,0,0,0,-
ドライフリット,アンドザフリット,ドライフリット,0,0,450,1,0,1,0,洋菓子館
ドライフリット,アンドザフリット,ドライフリット,0,0,1400,5,0,1,1,洋菓子館
ドライフリット,アンドザフリット,ドライフリット,0,0,2600,10,0,1,1,洋菓子館
入船堂,入船堂,草加煎餅、ぬれせん、ひとくち,0,0,0,0,0,0,0,-
草加煎餅,入船堂,草加煎餅,0,0,1080,16,0,1,1,ピア４、東京食賓館B
草加煎餅,入船堂,草加煎餅,0,0,1620,24,0,1,1,ピア４、東京食賓館B
ぬれせん,入船堂,ぬれせん,0,0,432,5,0,1,0,ピア４、東京食賓館B
銚子電鉄のぬれせん,入船堂,銚子電鉄のぬれせん,0,0,432,5,0,1,0,ピア４、東京食賓館B
ひとくち,入船堂,ひとくち,0,0,540,18,0,1,0,ピア４、東京食賓館B
ひとくち,入船堂,ひとくち,0,0,1080,32,1,1,1,ピア４、東京食賓館B
ひとくち,入船堂,ひとくち,0,0,1620,48,1,1,1,ピア４、東京食賓館B
ヴィタメール,ヴィタメール,マカダミアショコラ,0,0,0,0,0,0,0,-
マカダミアショコラ,ヴィタメール,マカダミアショコラ,0,0,3240,24,0,1,1,洋菓子館
マカダミアショコラ,ヴィタメール,マカダミアショコラ,0,0,1188,8,0,1,1,洋菓子館
上野風月堂,上野風月堂,プティゴーフル、東京カラメリゼ,0,0,0,0,0,0,0,-
プティゴーフル,上野風月堂,プティゴーフル,0,0,540,6,0,1,0,ピア１、東京食賓館３、ピア４、スマイルトーキョー、東京食賓館A
プティゴーフル,上野風月堂,プティゴーフル,0,0,1080,12,0,1,1,ピア１、東京食賓館３、ピア４、スマイルトーキョー、東京食賓館A
東京カラメリゼ,上野風月堂,東京カラメリゼ,0,1,1080,24,0,1,1,ピア１、東京食賓館３、ピア４、スマイルトーキョー、東京食賓館A
東京カラメリゼ,上野風月堂,東京カラメリゼ,0,1,540,12,0,1,0,ピア１、東京食賓館３、ピア４、スマイルトーキョー、東京食賓館A
栄太楼總本舗,栄太楼總本舗,栄太楼飴、名代金鍔、東京ピーセン,0,0,0,0,0,0,0,-
栄太楼飴,栄太楼總本舗,栄太楼飴,0,0,464,12,0,1,0,和菓子館、東京食賓館B
名代金鍔,栄太楼總本舗,名代金鍔,0,0,1004,3,1,1,1,和菓子館、東京食賓館B
名代金鍔,栄太楼總本舗,名代金鍔,0,0,1836,6,1,1,1,和菓子館、東京食賓館B
黒豆大福,栄太楼總本舗,黒豆大福,0,0,250,1,0,0,0,和菓子館、東京食賓館B
東京ピーセン,栄太楼總本舗,東京ピーセン,0,0,756,6,0,1,1,ピア１、ピア４、スマイルトーキョー
東京ピーセン,栄太楼總本舗,東京ピーセン,0,0,1080,9,0,1,1,ピア１、ピア４、スマイルトーキョー
東京ピーセン,栄太楼總本舗,東京ピーセン,0,0,1944,15,0,1,1,ピア１、ピア４、スマイルトーキョー
越前海鮮倶楽部,越前海鮮倶楽部,東京から揚げせんべい,0,0,,,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
東京から揚げせんべい,越前海鮮倶楽部,東京から揚げせんべい,0,1,1382,2,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
叶匠壽庵,叶匠壽庵,あも、羽雲,0,0,,,0,0,1,和菓子館、金の翼
あも,叶匠壽庵,あも,0,0,1296,1,0,0,1,和菓子館、金の翼
羽雲,叶匠壽庵,羽雲,1,1,1188,5,0,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
羽雲,叶匠壽庵,羽雲,1,1,2376,10,0,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
かみなり舎,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,0,0,0,0,0,0,-
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,775,5,0,1,1,洋菓子館
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,1080,8,0,1,1,洋菓子館
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,1620,12,0,1,1,洋菓子館
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,2430,18,0,1,1,洋菓子館
亀十,亀十,どら焼き,0,0,0,0,0,0,0,-
亀十のどら焼き,亀十,どら焼き,0,1,280,1,0,0,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
クラブハリエ,クラブハリエ,バームクーヘン,0,0,0,0,0,0,0,-
クラブハリエのバームクーヘン,クラブハリエ,バームクーヘン,0,0,2592,1,0,0,1,金の翼
クラブハリエのバームクーヘン,クラブハリエ,バームクーヘン,0,0,3780,1,0,0,1,金の翼
黒船,黒船,カステラ,0,0,0,0,0,0,0,-
黒船のｶｽﾃﾗ,黒船,カステラ,0,1,1512,1,0,0,1,金の翼、東京食賓館A
